BREWERS_PITCHER,PITCHER_ID,STADIUM,DATE_TIME,BATTER_SIDE,PITCH_TYPE,COUNT,REL_HEIGHT,REL_SIDE,EXTENSION,VELOCITY,INDUCED_VERT_BREAK,HORZ_BREAK,SPIN_RATE,TEMPERATURE,OUTS,PITCH_CALL,PLAY_RESULT
"Woessner, Tyler",681216,,2025-03-01 14:00:46.650,,SI,,6.638368002,1.633351838,5.845827984,90.85893,16.249158434,14.424871582,2439.137204,,,,
"Letson, Bishop",811309,,2025-03-01 14:06:08.070,,SW,,4.910160449,1.672040969,8.036623821,77.60074,-7.993117296,-14.258004111,2281.405751,,,,
"Woessner, Tyler",681216,,2025-03-01 14:07:11.510,,FA,,6.63059,1.937,,92.1061,21.80611,14.91338,2111.578435,,,,
"Woessner, Tyler",681216,,2025-03-01 14:04:30.870,,SI,,6.557868779,1.732779425,5.963787984,90.52616,11.145201135,14.112424966,2327.50221,,,,
"Woessner, Tyler",681216,,2025-03-01 14:06:12.260,,SI,,6.650222241,1.523041003,6.100717984,89.46094,15.533741468,10.659742781,2305.440233,,,,
"Woessner, Tyler",681216,,2025-03-01 14:00:07.520,,SI,,6.518872047,1.674667646,6.173657984,90.60779,13.554125939,15.771915803,2377.297983,,,,
"Woessner, Tyler",681216,,2025-03-01 14:07:31.060,,SI,,6.645806253,1.824000289,4.998557984,91.31717,15.075612242,18.456763025,1870.096226,,,,
"Letson, Bishop",811309,,2025-03-01 14:03:39.130,,FA,,5.664337763,1.013688679,7.830957842,92.34332,17.474535862,12.149547079,2361.267146,,,,
"Letson, Bishop",811309,,2025-03-01 14:04:08.800,,FA,,5.361285976,1.272223739,7.982367842,91.2926,18.82289851,8.308316969,2436.461614,,,,
"Woessner, Tyler",681216,,2025-03-01 14:01:40.740,,FC,,6.399735946,1.753211485,5.696846113,83.83582,,,2421.196072,,,,
"Woessner, Tyler",681216,,2025-03-01 14:06:56.250,,FA,,6.563741743,1.733995855,4.748597842,89.63198,19.744950733,9.823330229,1989.892364,,,,
"Letson, Bishop",811309,,2025-03-01 14:06:22.760,,SI,,5.010508336,1.43563081,7.914167984,92.04054,11.989075659,13.575102826,2386.636315,,,,
"Woessner, Tyler",681216,,2025-03-01 14:01:06.520,,CU,,6.677653047,1.617849284,5.214852297,76.36693,-16.224891504,-8.858846166,2345.697552,,,,
"Letson, Bishop",811309,,2025-03-01 14:01:44.760,,SW,,5.059496792,1.734315145,7.767673821,76.78056,-4.865473516,-12.218862297,2100.711473,,,,
"Woessner, Tyler",681216,,2025-03-01 14:04:12.930,,FA,,6.634390051,1.871623369,5.735887842,90.5647,18.888724468,11.616623635,2430.862466,,,,
"Woessner, Tyler",681216,,2025-03-01 14:05:44.940,,SI,,6.714036523,1.697076733,6.063927984,88.94253,13.127714594,13.652698016,2312.603427,,,,
