BREWERS_PITCHER,PITCHER_ID,STADIUM,DATE_TIME,BATTER_SIDE,PITCH_TYPE,COUNT,REL_HEIGHT,REL_SIDE,EXTENSION,VELOCITY,INDUCED_VERT_BREAK,HORZ_BREAK,SPIN_RATE,TEMPERATURE,OUTS,PITCH_CALL,PLAY_RESULT
"Root, Bayden",694843,Neuroscience Group Field,2025-05-17 03:28:47.421,R,SI,01,4.834201442,1.21793245,6.527964959,93.779455676,7.206140364,11.13177641,2327.639272086,62,0,"In Play, Out(s)",Field Out
"Root, Bayden",694843,Neuroscience Group Field,2025-05-17 03:29:43.836,R,SL,01,4.850913983,1.148013075,6.578354981,87.948032391,-3.761468295,-6.919472773,2867.050351149,62,1,Ball,
"Root, Bayden",694843,Neuroscience Group Field,2025-05-17 03:30:31.182,R,SW,12,4.809269269,1.110967676,6.751968504,86.38694289,-2.688284284,-14.938689074,,62,1,Ball,
"Root, Bayden",694843,Neuroscience Group Field,2025-05-17 03:30:02.448,R,SI,11,4.656754136,1.158859182,6.473579298,93.301908258,7.325326035,11.537268471,2323.012862016,62,1,Swinging Strike,
"Root, Bayden",694843,Neuroscience Group Field,2025-05-17 03:28:29.136,R,SI,00,4.799591388,1.338599835,6.671193335,93.728503702,7.784542946,9.673814317,2280.124311836,62,0,Called Strike,
"Root, Bayden",694843,Neuroscience Group Field,2025-05-17 03:31:32.732,L,SI,00,4.692481912,1.474340548,6.173269361,94.082153688,6.055592383,11.788328438,2363.447740801,62,1,"In Play, Out(s)",Grounded Into DP
"Root, Bayden",694843,Neuroscience Group Field,2025-05-17 03:30:51.097,R,SI,22,4.680532816,1.25516984,6.692175373,94.035389012,6.060207241,15.526270123,2346.480158504,62,1,"In Play, No Out",Single
"Gillis, Tanner",828705,,2025-05-16 14:35:09.690,,CH,,5.830586283,2.591934677,7.426420623,82.28738,-3.570105132,15.521317791,1825.783511,,,,
"Figueroa, Jeferson",689951,,2025-05-17 11:29:22.660,,FA,,6.258825925,2.027590327,5.335448468,84.4745,18.014678237,8.215277488,2218.317977,,,,
"Gillis, Tanner",828705,,2025-05-16 14:35:35.110,,FC,,5.827129767,2.588225566,7.327657739,85.20872,1.812083015,-0.02867473433,2433.303196,,,,
"Gillis, Tanner",828705,,2025-05-16 14:36:37.250,,SL,,5.880665181,2.442855475,7.157453966,79.66982,-2.365753077,-2.70191165,,,,,
"Figueroa, Jeferson",689951,,2025-05-17 11:28:08.680,,FA,,6.553478471,1.968094086,5.339098468,82.51277,,,2115.061796,,,,
"Figueroa, Jeferson",689951,,2025-05-16 14:49:17.390,,SL,,6.403970123,2.420946339,5.300733966,75.22248,3.479258011,-4.574652212,,,,,
"Broca, Jesus",695871,,2025-05-16 14:45:05.320,,SL,,6.170857163,-1.301457641,5.821673966,76.76094,-6.314384752,5.254920663,2510.426614,,,,
"Birchard, Ryan",804670,Neuroscience Group Field,2025-05-17 18:11:42.694,R,FA,12,6.467299025,-1.139694946,6.745248318,92.841884733,20.614723587,0.7979603216,2294.794724257,60,0,Foul,
"Birchard, Ryan",804670,Neuroscience Group Field,2025-05-17 18:12:52.900,R,FA,10,6.417038919,-0.8736225159,6.938862026,89.639325338,21.429640438,1.646461814,2079.379943859,60,1,Swinging Strike,
"Birchard, Ryan",804670,Neuroscience Group Field,2025-05-17 18:10:41.566,R,FA,00,6.504773649,-0.9430035375,6.980470493,90.707632732,22.781300316,-0.9547508146,2164.112556214,60,0,Foul,
"Birchard, Ryan",804670,Neuroscience Group Field,2025-05-17 18:43:12.833,R,FA,01,6.475269916,-0.9625618088,6.654743649,91.189717468,18.302713819,2.503050745,2099.857203714,60,1,"In Play, Out(s)",Field Out
